Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-034369	Hebeloma immutabile	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Ed Lubow	40.05115 -105.583938	DBG:DBG:DBG-F-034369
Seq-DBG-F-034370	Cortinarius cinnamomeoluteus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, South of Niwot Ridge Road, Approx. 300 m before the road end.	Bitty Roy (DNA)	40.05115 -105.58393	DBG:DBG:DBG-F-034370
Seq-DBG-F-034371	Inocybe sublilacina	Ed Lubow; Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Southwest edge near Aspen and Columbine cabins.	Ed Lubow	40.031108 -105.538338	DBG:DBG:DBG-F-034371
Seq-DBG-F-034372	Crucibulum 	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.041786 -105.570747	DBG:DBG:DBG-F-034372
Seq-DBG-F-034374	Inocybe pallidicremea	Carlyn Pudwill	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Ed Lubow	40.031075 -105.537978	DBG:DBG:DBG-F-034374
Seq-DBG-F-034376	Cortinarius inops	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Ed Lubow	40.05117 -105.58397	DBG:DBG:DBG-F-034376
Seq-DBG-F-034377	Cortinarius paulus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 2.5 km North of Silver lake	Bitty Roy	40.05115 -105.5839	DBG:DBG:DBG-F-034377
Seq-DBG-F-034378	Entoloma rhodopolium	Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, 250 m West of Mountain Research Station	Bitty Roy	40.031147 -105.538345	DBG:DBG:DBG-F-034378
Seq-DBG-F-034379	Russula gracilis	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, 250 m West of Mountain Research Station	Bitty Roy	40.030844 -105.537721	DBG:DBG:DBG-F-034379
Seq-DBG-F-034381	Phyllotopsis nidulans	Alex Merryman; Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, 300 m Southwest of Arapaho Glacier Trail	Bitty Roy	40.00667 -105.56434	DBG:DBG:DBG-F-034381
Seq-DBG-F-034383	Chalciporus piperatus	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, 350 m West of Mountain Research Station	Roy Halling	40.031361 -105.538637	DBG:DBG:DBG-F-034383
Seq-DBG-F-034384	Russula 	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~100m from Cable Gate	Bitty Roy (DNA)	40.036344 -105.5506	DBG:DBG:DBG-F-034384
Seq-DBG-F-034385	Cortinarius amoenolens	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station Area	Ed Lubow	40.041717 -105.570975	DBG:DBG:DBG-F-034385
Seq-DBG-F-034387	Hebeloma nanum	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.04724 -105.57716	DBG:DBG:DBG-F-034387
Seq-DBG-F-034388	Scutellinia gintlii	Carlyn Pudwill; Alex Merryman, Ed Lubow, Ikuko Lubow	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Bitty Roy (DNA)	40.031945 -105.536263	DBG:DBG:DBG-F-034388
Seq-DBG-F-034389	Calonarius coniferarum	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~500 meters downhill of Cable Gate	Ed Lubow	40.04122 -105.57093	DBG:DBG:DBG-F-034389
Seq-DBG-F-034391	Ramaria apiculata	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station on Niwot Ridge Road, ~200 meters uphill of Cable Gate	Roy Halling; Ed Lubow	40.047325 -105.579528	DBG:DBG:DBG-F-034391
Seq-DBG-F-034394	Clitocybe variabilis	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~50m uphill from Cable Gate	Ed Lubow	40.040921 -105.570799	DBG:DBG:DBG-F-034394
Seq-DBG-F-034395	Chalciporus piperatus	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Area, Niwot Ridge	Justin Loucks	40.047345 -105.579553	DBG:DBG:DBG-F-034395
Seq-DBG-F-034398	Lactarius deliciosus	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.04668 -105.57484	DBG:DBG:DBG-F-034398
Seq-DBG-F-034399	Russula gracilis	Carlyn Pudwill	11-Aug-2003	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station- Moores Collins Family Lodge	Bitty Roy (DNA)	40.032197 -105.535583	DBG:DBG:DBG-F-034399
Seq-DBG-F-034400	Lacrymaria lacrymabunda	Carlyn Pudwill; Ikuko Lubow; Alex Merryman; Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, Main Campus. Across from Mores-Collins Family Lodge.	Ed Lubow	40.031808 -105.536858	DBG:DBG:DBG-F-034400
Seq-DBG-F-034401	Inocybe subexilis	Carlyn Pudwil	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty Roy	40.032146 -105.535585	DBG:DBG:DBG-F-034401
Seq-DBG-F-034402	Russula nana	Natalie Hyde	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station Area	Natalie Hyde	40.040987 -105.570744	DBG:DBG:DBG-F-034402
Seq-DBG-F-034403	Leucocybe candicans	Michelle Williams	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station	Bitty Roy	40.032133 -105.5356	DBG:DBG:DBG-F-034403
Seq-DBG-F-034404	Cortinarius 	Justin Loucks	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 2.5 km North of Silver lake	Bitty Roy	40.051164 -105.583878	DBG:DBG:DBG-F-034404
Seq-DBG-F-034406	Lactarius olympianus	Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Mountain Research Station, 1 km North of Silver Lake	Bitty Roy	40.041487 -105.571121	DBG:DBG:DBG-F-034406
Seq-DBG-F-034408	Lachnellula 	Carlyn Pudwil; Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, Northeast of Rainbow Lakes Trailhead	Bitty Roy	40.01416 -105.56109	DBG:DBG:DBG-F-034408
Seq-DBG-F-034409	Albatrellopsis confluens	Sara Bronco	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Ed Lubow	40.032088 -105.53545	DBG:DBG:DBG-F-034409
Seq-DBG-F-034476	Russula spec	Andrew W. Wilson	17-Sep-2023	United States of America: Colorado, Boulder, Niwot ridge road near cable gate	Bitty Roy (DNA)	40.052319 -105.582698	DBG:DBG:DBG-F-034476
Seq-DBG-F-034479	Lachnellula hyalina	Alex Merryman; Carlyn Pudwill, Ed Lubow	11-Aug-2023	United States of America: Colorado, Boulder, ~1000m SW of Fourmile creek	Bitty Roy (DNA)	40.039933 -105.571633	DBG:DBG:DBG-F-034479
Seq-DBG-F-034481	Agrocybe smithii	Alissa Iverson	12-Aug-2023	United States of America: Colorado, Boulder, ~400 m from the end of Niwot Ridge Road	Ed Lubow	40.050431 -105.583367	DBG:DBG:DBG-F-034481
Seq-DBG-F-034484	Cortinarius armeniacus	Alissa Iverson	12-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~50m uphill from Cable Gate	Ed Lubow	40.041642 -105.570313	DBG:DBG:DBG-F-034484
Seq-DBG-F-034485	Amanita muscaria	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot ridge road ~200 m from the road end	Bitty Roy (DNA)	40.049931 -105.583288	DBG:DBG:DBG-F-034485
Seq-DBG-F-034486	Riopa metamorphosa	Griffin Meyer	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10129 -96.58533	DBG:DBG:DBG-F-034486
Seq-DBG-F-034487	Vanderbylia robiniophila	Justin Loucks	10-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10219 -96.58643	DBG:DBG:DBG-F-034487
Seq-DBG-F-034488	Riopa metamorphosa	Griffin Meyer	9-Apr-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10216 -96.58729	DBG:DBG:DBG-F-034488
Seq-DBG-F-034489	Thaxterogaster fulvo-ochrascens	Michelle Williams	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Bitty Roy (DNA)	40.031883 -105.533574	DBG:DBG:DBG-F-034489
Seq-DBG-F-034491	Lactarius deliciosus	Alissa Iverson; Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~50m from cable gate	Andrew W. Wilson, Roy Hailing	40.041667 -105.570313	DBG:DBG:DBG-F-034491
Seq-DBG-F-034492	Guepiniopsis alpina	Michelle Williams	11-Aug-2023	United States of America: Colorado, Boulder, Niwot ridge road ~50 m west of the road	Andrew W. Wilson	40.050171 -105.583584	DBG:DBG:DBG-F-034492
Seq-DBG-F-034493	Laccaria nobilis	Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot Ridge Road ~100 m from cable gate	Ed Lubow	40.047282 -105.576327	DBG:DBG:DBG-F-034493
Seq-DBG-F-034494	 	Alex Merryman	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Roy Hailing	40.032081 -105.536112	DBG:DBG:DBG-F-034494
Seq-DBG-F-034495	Albatrellopsis confluens	Alissa Iverson	11-Aug-2023	United States of America: Colorado, Boulder, CU Boulder Mountain Research Station	Ed Lubow, Roy Hailing	40.031823 -105.533373	DBG:DBG:DBG-F-034495
Seq-DBG-F-034496	Lactarius deterrimus	Andrew W. Wilson	11-Aug-2023	United States of America: Colorado, Boulder, Niwot ridge road ~100 m from creek	Bitty Roy (DNA)	40.041259 -105.571191	DBG:DBG:DBG-F-034496
Seq-DBG-F-034597	Hydnophlebia alachuana	Justin Loucks	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; creek bank	Bitty Roy	39.09903 -96.59	DBG:DBG:DBG-F-034597
Seq-DBG-F-034598	Vitreoporus dichrous	Justin Deas	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; by small creek	Bitty Roy	39.09918 -96.5902	DBG:DBG:DBG-F-034598
Seq-DBG-F-034599	Phellinus gilva	Andrew W. Wilson	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10142 -96.58509	DBG:DBG:DBG-F-034599
Seq-DBG-F-034601	Marasmius siccus	Justin Loucks	8-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10195 -96.58563	DBG:DBG:DBG-F-034601
Seq-DBG-F-034603	Phellinus gilva	Emily Tolbert; Andrew W. Wilson; Justin Loucks	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Bio Resarch Station, thin strip of forest	Ed Lubow	39.09914 -96.59014	DBG:DBG:DBG-F-034603
Seq-DBG-F-034604	Schizophyllum commune	Justin Loucks	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; edge of forest	Justin Loucks	39.10269 -96.58506	DBG:DBG:DBG-F-034604
Seq-DBG-F-034606	Phlebiopsis dregeana	Justin Deas	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; small section of forest	Bitty Roy	39.09917 -96.59027	DBG:DBG:DBG-F-034606
Seq-DBG-F-034610	Cerrena unicolor	Jess Loeffler	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; by small creek	Bitty Roy	39.09944 -96.59034	DBG:DBG:DBG-F-034610
Seq-DBG-F-034611	Funalia rigida	Emily Tolbert	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; by small creek	Bitty Roy	39.10061 -96.59094	DBG:DBG:DBG-F-034611
Seq-DBG-F-034613	 	Justin Loucks	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; dry creek bottom	Bitty Roy	39.1191 -96.62061	DBG:DBG:DBG-F-034613
Seq-DBG-F-034614	Hyphodermella rosae	Klara Stevermer	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; sparse forest and field	Bitty Roy	39.09957 -96.58793	DBG:DBG:DBG-F-034614
Seq-DBG-F-034615	Perenniporia 	Justin Loucks	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10201 -96.58542	DBG:DBG:DBG-F-034615
Seq-DBG-F-034616	Trametes 	Justin Loucks	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10198 -96.58548	DBG:DBG:DBG-F-034616
Seq-DBG-F-034617	Irpex lacteus	Andrew W. Wilson	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; by small creek	Bitty Roy	39.09946 -96.59034	DBG:DBG:DBG-F-034617
Seq-DBG-F-034618	Irpex latemarginatus	Justin Deas	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; small section of forest	Bitty Roy	39.09922 -96.59023	DBG:DBG:DBG-F-034618
Seq-DBG-F-034620	Cubamyces lactinea	Justin Loucks; Justin Deas	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; overhanging a creek	Bitty Roy	39.09998 -96.59031	DBG:DBG:DBG-F-034620
Seq-DBG-F-034621	Trametes 	Justin Loucks	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; dry creek bottom	Bitty Roy	39.09864 -96.58976	DBG:DBG:DBG-F-034621
Seq-DBG-F-034622	Irpex lacteus	Andrew W. Wilson	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10135 -96.58524	DBG:DBG:DBG-F-034622
Seq-DBG-F-034624	 	Bitty Roy	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10148 -96.58533	DBG:DBG:DBG-F-034624
Seq-DBG-F-034838	Hypsizygus ulmarius	Thomas Koffel	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	B. Roy	39.102233 -96.588708	DBG:DBG:DBG-F-034838
Seq-DBG-F-034838	Hypsizygus ulmarius	Thomas Koffel	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	B. Roy	39.102233 -96.588708	DBG:DBG:DBG-F-034838
Seq-DBG-F-034839	Irpex lacteus	Thomas Lappin	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Justin Loucks	39.10211 -96.58551	DBG:DBG:DBG-F-034839
Seq-DBG-F-034839	Irpex lacteus	Thomas Lappin	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Justin Loucks	39.10211 -96.58551	DBG:DBG:DBG-F-034839
Seq-DBG-F-034842	Lenzites betulina	Anna Kazarina	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	R. Halling, A. Kazarina	39.106094 -96.603007	DBG:DBG:DBG-F-034842
Seq-DBG-F-034842	Lenzites betulina	Anna Kazarina	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	R. Halling, A. Kazarina	39.106094 -96.603007	DBG:DBG:DBG-F-034842
Seq-DBG-F-034848	Podofomes mollis	Hanna Imdea	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Hannah Imdea	39.105269 -96.600682	DBG:DBG:DBG-F-034848
Seq-DBG-F-034851	Vitreoporus dichrous	Audrey Nelson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station	Ed Lubow and Alicia Wyatt	39.101517 -96.584808	DBG:DBG:DBG-F-034851
Seq-DBG-F-034852	Perenniporia ohiensis	Audrey Nelson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.1019 -96.58559	DBG:DBG:DBG-F-034852
Seq-DBG-F-034852	Perenniporia ohiensis	Audrey Nelson	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.1019 -96.58559	DBG:DBG:DBG-F-034852
Seq-DBG-F-034856	Pleurotus ostreatus	unknown; posted to iNat by Matthew Sheik (not initial observer)	8-Apr-2022	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Ed Lubow	39.10194 -96.58585	DBG:DBG:DBG-F-034856
Seq-DBG-F-034888	Thelephora 	Andrew W. Wilson	8-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.1017 -96.58527	DBG:DBG:DBG-F-034888
Seq-DBG-F-034890	Peniophorella 	Thomas Lappin	7-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; forested area	Bitty Roy	39.10193 -96.58691	DBG:DBG:DBG-F-034890
Seq-DBG-F-034928	Phanerodontia magnoliae	Thomas Lappin	9-Sep-2023	United States of America: Kansas, Riley, Konza Prarie Biological Research Station; sparse forest and field	Bitty Roy	39.10065 -96.58698	DBG:DBG:DBG-F-034928
Seq-DBG-F-035501	Hydnellum fuscoindicum	Sandra Ruffner; Andrew W. Wilson	31-Oct-2024	United States of America: Washington, Lewis, Summit Creek Falls, NF-4510	Django Grootmeyers	46.709447 -121.536042	DBG:DBG:DBG-F-035501
Seq-DBG-F-035513	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-035513
Seq-DBG-F-035514	Hydnellum 	Dean Lundy; Andrew W. Wilson	1-Nov-2024	United States of America: Washington, Skamania, Adams Fork Campground and Road 5601	Django Grootmeyers	46.33925 -121.642611	DBG:DBG:DBG-F-035514
Seq-DBG-F-035515	Hydnellum 	Andrew W. Wilson	26-Oct-2024	United States of America: Washington, Whatcom, Lookout Mountain Preserve Trail, along East facing ridge of Austin Creek	Andrew W. Wilson	48.6977 -122.34211	DBG:DBG:DBG-F-035515
Seq-DBG-F-035518	Hydnellum caeruleum	Jeremy Collison; Andrew W. Wilson	31-Oct-2024	United States of America: Washington, Lewis, Cispus Road West of Slick Rock creek waterfall	Jeremy Collison	46.428689 -121.805488	DBG:DBG:DBG-F-035518
Seq-DBG-F-035520	Hydnellum radiatum	Kristen Metcalfe; Andrew W. Wilson	1-Nov-2024	United States of America: Washington, Skamania, FR 23 at Cispus River Bridge	Matt Johnson	46.3625 -121.72578	DBG:DBG:DBG-F-035520
Seq-DBG-F-035524	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-035524
Seq-DBG-F-035525	Boletopsis 	Andrew W. Wilson; Andrew W. Wilson	28-Oct-2024	United States of America: Washington, Whatcom, Sudden valley west of Austin Creek	Justin Loucks	48.69781 -122.34212	DBG:DBG:DBG-F-035525
