Sequence_ID	Organism	Collected_by	Collection_date	Country	Identified_by	Lat_Lon	Specimen_voucher
Seq-DBG-F-033409	Mycena inclinata	Sherry Kay	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Sherry Kay	39.087141 -96.574987	DBG:DBG:DBG-F-033409
Seq-DBG-F-033410	Perenniporia medulla-panis	Andrew W. Wilson	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101485 -96.583954	DBG:DBG:DBG-F-033410
Seq-DBG-F-033411	Trametes hirsuta	Justin Loucks	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101795 -96.586554	DBG:DBG:DBG-F-033411
Seq-DBG-F-033412	Irpex lacteus	Andrew W. Wilson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101328 -96.585448	DBG:DBG:DBG-F-033412
Seq-DBG-F-033473	Schizophyllum commune	Jess Fussell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Jess Fussell	39.102382 -96.58414	DBG:DBG:DBG-F-033473
Seq-DBG-F-033474	Irpex lacteus	Keegan Schwartz	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101906 -96.583922	DBG:DBG:DBG-F-033474
Seq-DBG-F-033475	Mycena 	Keegan Schwartz	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Keegan Schwartz	39.107278 -96.609387	DBG:DBG:DBG-F-033475
Seq-DBG-F-033476	Dothiora 	Justin Loucks	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Justin Loucks	39.104131 -96.596313	DBG:DBG:DBG-F-033476
Seq-DBG-F-033478	Trametes 	Sherry Kay	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Sherry Kay	 	DBG:DBG:DBG-F-033478
Seq-DBG-F-033479	Mycena 	Justin Loucks	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Justin Loucks	39.101278 -96.581917	DBG:DBG:DBG-F-033479
Seq-DBG-F-033481	Gymnopus spongiosus	Kenneth Standfast	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102481 -96.584335	DBG:DBG:DBG-F-033481
Seq-DBG-F-033482	 	Willfraun	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.10121 -96.58505	DBG:DBG:DBG-F-033482
Seq-DBG-F-033485	Gymnopus spongiosus	Brant Watson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101879 -96.585824	DBG:DBG:DBG-F-033485
Seq-DBG-F-033486	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033486
Seq-DBG-F-033488	Dacrymyces punctiformis	Jan Johnson	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Alissa Iverson	39.10275 -96.583487	DBG:DBG:DBG-F-033488
Seq-DBG-F-033490	Phellinus gilva	Sherry Kay	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Carlyn Pudwill	39.094271 -96.572543	DBG:DBG:DBG-F-033490
Seq-DBG-F-033491	Trichaptum biforme	Willfraun	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Carlyn Pudwill	39.101878 -96.585353	DBG:DBG:DBG-F-033491
Seq-DBG-F-033492	Gymnopus foetidus	Sherry Kay	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.101675 -96.584308	DBG:DBG:DBG-F-033492
Seq-DBG-F-033493	Russula xerampelina	Willfraun	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101654 -96.585316	DBG:DBG:DBG-F-033493
Seq-DBG-F-033494	Vitreoporus dichrous	Willfraun	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	W. Fraundorfer	39.102537 -96.584931	DBG:DBG:DBG-F-033494
Seq-DBG-F-033497	Cystostereum murrayi	Jan Johnson	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102767 -96.584795	DBG:DBG:DBG-F-033497
Seq-DBG-F-033498	Vanderbylia robiniophila	Pat Joe Russell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.101364 -96.585396	DBG:DBG:DBG-F-033498
Seq-DBG-F-033499	Inosperma lanatodisca	Jess Fussell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102211 -96.58407	DBG:DBG:DBG-F-033499
Seq-DBG-F-033500	Russula xerampelina	Brant Watson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.101416 -96.586508	DBG:DBG:DBG-F-033500
Seq-DBG-F-033501	Stereum ostrea	Justin Loucks	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Justin Loucks	39.10195 -96.583986	DBG:DBG:DBG-F-033501
Seq-DBG-F-033502	Gymnopus spongiosus	Kenneth Standfast	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.101867 -96.585341	DBG:DBG:DBG-F-033502
Seq-DBG-F-033504	Trichaptum biforme	Brant Watson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.102058 -96.58541	DBG:DBG:DBG-F-033504
Seq-DBG-F-033505	Irpex lacteus	Justin Loucks	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Justin Loucks	39.101606 -96.583442	DBG:DBG:DBG-F-033505
Seq-DBG-F-033506	Lycoperdon perlatum	Sherry Kay	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Carlyn Pudwill	39.10688 -96.60914	DBG:DBG:DBG-F-033506
Seq-DBG-F-033507	Russula xerampelina	Willfraun	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102653 -96.585142	DBG:DBG:DBG-F-033507
Seq-DBG-F-033508	 	Kenneth Standfast	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Andrew W. Wilson	39.102352 -96.584071	DBG:DBG:DBG-F-033508
Seq-DBG-F-033509	Irpex lacteus	Brant Watson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.102171 -96.58567	DBG:DBG:DBG-F-033509
Seq-DBG-F-033510	Trametes versicolor	Keegan Schwartz	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	K. Schwartz	39.107295 -96.60937	DBG:DBG:DBG-F-033510
Seq-DBG-F-033511	Calvatia rubroflava	Kenneth Standfast	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Sherry Kay	39.100839 -96.608212	DBG:DBG:DBG-F-033511
Seq-DBG-F-033512	Lenzites betulina	Andrew W. Wilson	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Andrew W. Wilson	39.101502 -96.585258	DBG:DBG:DBG-F-033512
Seq-DBG-F-033513	Auricularia americana	Sherry Kay	11-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Sherry Kay	39.09101 -96.57665	DBG:DBG:DBG-F-033513
Seq-DBG-F-033515	Gymnopus spongiosus	Jess Fussell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.1022 -96.584988	DBG:DBG:DBG-F-033515
Seq-DBG-F-033516	Marasmius siccus	Jess Fussell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Roy E. Halling	39.102212 -96.585	DBG:DBG:DBG-F-033516
Seq-DBG-F-033518	Irpiciporus pachyodon	Thomas Lappin	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	T. Lappin	 	DBG:DBG:DBG-F-033518
Seq-DBG-F-033517	Russula xerampelina	Jess Fussell	9-Sep-2022	United States of America: Kansas, Riley, Konza Prarie Biological Station, South Branch of Kings Creek Loop, one mile east of the parking lot, in riparian area adjacent to King's Creek.	Ed Lubow	39.115392 -96.696061	DBG:DBG:DBG-F-033517
Seq-DBG-F-033536	Hydnellum suaveolens	Sara Branco	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Sara Branco	40.035367 -105.536595	DBG:DBG:DBG-F-033536
Seq-DBG-F-033539	Fibroporia vaillantii	Ikuko Lubow; Ed Lubow	16-Sep-2022	United States of America: Colorado, Boulder, Niwot Ridge	Ed Lubow	40.035367 -105.536596	DBG:DBG:DBG-F-033539
Seq-DBG-F-033540	 		NaN-undefined-NaN	: , , 		 	:DBG:DBG-F-033540
